adapter,family,native_feature_names
medimage,glcm,"Fcm_auto_corr, Fcm_clust_prom, Fcm_clust_shade, Fcm_clust_tend, Fcm_contrast, Fcm_corr, Fcm_diff_avg, Fcm_diff_entr, Fcm_diff_var, Fcm_dissimilarity, Fcm_energy, Fcm_info_corr1, Fcm_info_corr2, Fcm_inv_diff, Fcm_inv_diff_mom, Fcm_inv_diff_mom_norm, Fcm_inv_diff_norm, Fcm_inv_var, Fcm_joint_avg, Fcm_joint_entr, Fcm_joint_max, Fcm_joint_var, Fcm_sum_avg, Fcm_sum_entr, Fcm_sum_var"
medimage,gldzm,"Fdzm_gl_var, Fdzm_glnu, Fdzm_glnu_norm, Fdzm_hgze, Fdzm_lde, Fdzm_ldhge, Fdzm_ldlge, Fdzm_lgze, Fdzm_sde, Fdzm_sdhge, Fdzm_sdlge, Fdzm_z_perc, Fdzm_zd_entr, Fdzm_zd_var, Fdzm_zdnu, Fdzm_zdnu_norm"
medimage,glrlm,"Frlm_gl_var, Frlm_glnu, Frlm_glnu_norm, Frlm_hgre, Frlm_lgre, Frlm_lre, Frlm_lrhge, Frlm_lrlge, Frlm_r_perc, Frlm_rl_entr, Frlm_rl_var, Frlm_rlnu, Frlm_rlnu_norm, Frlm_sre, Frlm_srhge, Frlm_srlge"
medimage,glszm,"Fszm_gl_var, Fszm_glnu, Fszm_glnu_norm, Fszm_hgze, Fszm_lgze, Fszm_lze, Fszm_lzhge, Fszm_lzlge, Fszm_sze, Fszm_szhge, Fszm_szlge, Fszm_z_perc, Fszm_zs_entr, Fszm_zs_var, Fszm_zsnu, Fszm_zsnu_norm"
medimage,histogram,"Fih_P10, Fih_P90, Fih_cov, Fih_entropy, Fih_iqr, Fih_kurt, Fih_mad, Fih_max, Fih_max_grad, Fih_max_grad_gl, Fih_mean, Fih_medad, Fih_median, Fih_min, Fih_min_grad, Fih_min_grad_gl, Fih_mode, Fih_qcod, Fih_range, Fih_rmad, Fih_skew, Fih_uniformity, Fih_var"
medimage,intensity,"Fstat_P10, Fstat_P90, Fstat_cov, Fstat_energy, Fstat_iqr, Fstat_kurt, Fstat_mad, Fstat_max, Fstat_mean, Fstat_medad, Fstat_median, Fstat_min, Fstat_qcod, Fstat_range, Fstat_rmad, Fstat_rms, Fstat_skew, Fstat_var"
medimage,ivh,"Fivh_I10, Fivh_I10minusI90, Fivh_I90, Fivh_V10, Fivh_V10minusV90, Fivh_V90, Fivh_auc"
medimage,local_intensity,"Floc_peak_global, Floc_peak_local"
medimage,morphology,"Fmorph_a_dens_aabb, Fmorph_a_dens_aee, Fmorph_a_dens_conv_hull, Fmorph_a_dens_mvee, Fmorph_a_dens_ombb, Fmorph_approx_vol, Fmorph_area, Fmorph_asphericity, Fmorph_av, Fmorph_com, Fmorph_comp_1, Fmorph_comp_2, Fmorph_diam, Fmorph_geary_c, Fmorph_integ_int, Fmorph_moran_i, Fmorph_pca_elongation, Fmorph_pca_flatness, Fmorph_pca_least, Fmorph_pca_major, Fmorph_pca_minor, Fmorph_sph_dispr, Fmorph_sphericity, Fmorph_v_dens_aabb, Fmorph_v_dens_aee, Fmorph_v_dens_conv_hull, Fmorph_v_dens_mvee, Fmorph_v_dens_ombb, Fmorph_vol"
medimage,ngldm,"Fngl_dc_energy, Fngl_dc_entr, Fngl_dc_var, Fngl_dcnu, Fngl_dcnu_norm, Fngl_gl_var, Fngl_glnu, Fngl_glnu_norm, Fngl_hde, Fngl_hdhge, Fngl_hdlge, Fngl_hgce, Fngl_lde, Fngl_ldhge, Fngl_ldlge, Fngl_lgce"
medimage,ngtdm,"Fngt_busyness, Fngt_coarseness, Fngt_complexity, Fngt_contrast, Fngt_strength"
